Area Name,state,Urban %
Alabama,AL,59
Alaska,AK,66
Arizona,AZ,89.8
Arkansas,AR,56.2
California,CA,95
Colorado,CO,86.2
Connecticut,CT,88
Delaware,DE,83.3
District of Columbia,DC,100
Florida,FL,91.2
Georgia,GA,75.1
Hawaii,HI,91.9
Idaho,ID,70.6
Illinois,IL,88.5
Indiana,IN,72.4
Iowa,IA,64
Kansas,KS,74.2
Kentucky,KY,58.4
Louisiana,LA,73.2
Maine,ME,38.7
Maryland,MD,87.2
Massachusetts,MA,92
Michigan,MI,74.6
Minnesota,MN,73.3
Mississippi,MS,49.4
Missouri,MO,70.4
Montana,MT,55.9
Nebraska,NE,73.1
Nevada,NV,94.2
New Hampshire,NH,60.3
New Jersey,NJ,94.7
New Mexico,NM,77.4
New York,NY,87.9
North Carolina,NC,66.1
North Dakota,ND,59.9
Ohio,OH,77.9
Oklahoma,OK,66.2
Oregon,OR,81
Pennsylvania,PA,78.7
Rhode Island,RI,90.7
South Carolina,SC,66.3
South Dakota,SD,56.7
Tennessee,TN,66.4
Texas,TX,84.7
Utah,UT,90.6
Vermont,VT,38.9
Virginia,VA,75.5
Washington,WA,84.1
West Virginia,WV,48.7
Wisconsin,WI,70.2
Wyoming,WY,64.8
